CO,MQ135,Temperature,Humidity,CO2,TVOC,DustDensity
176,40.0,33.4,46.0,629.0,34.0,16.0
178,42.0,33.4,46.0,633.0,35.0,4.0
176,40.0,33.4,46.0,645.0,37.0,0.0
179,44.0,33.4,46.0,643.0,37.0,3.0
176,37.0,33.4,46.0,627.0,34.0,0.0
175,39.0,33.4,46.0,641.0,36.0,0.0
175,39.0,33.4,46.0,640.0,36.0,0.0
179,42.0,33.4,46.0,643.0,37.0,4.0
173,39.0,33.4,46.0,589.0,28.0,2.0
180,43.0,33.3,46.0,565.0,25.0,0.0
187,43.0,33.4,46.0,643.0,37.0,0.0
179,42.0,33.3,46.0,633.0,35.0,0.0
181,40.0,33.4,46.0,631.0,35.0,0.0
177,39.0,33.4,46.0,597.0,30.0,0.0
180,44.0,33.4,46.0,565.0,25.0,4.0
175,39.0,33.5,46.0,634.0,35.0,0.0
182,40.0,33.7,46.0,626.0,34.0,0.0
175,39.0,33.6,46.0,483.0,12.0,0.0
177,41.0,33.6,46.0,633.0,35.0,1.0
179,42.0,33.6,46.0,627.0,34.0,3.0
180,43.0,33.4,46.0,629.0,34.0,4.0
178,39.0,33.4,46.0,626.0,34.0,0.0
177,39.0,33.4,46.0,602.0,30.0,0.0
180,44.0,33.7,46.0,588.0,28.0,4.0
176,35.0,33.8,46.0,584.0,28.0,0.0
181,44.0,33.8,46.0,575.0,26.0,3.0
175,39.0,33.8,46.0,581.0,27.0,0.0
177,37.0,33.8,45.0,744.0,52.0,0.0
181,39.0,33.8,45.0,749.0,53.0,0.0
179,39.0,33.8,45.0,748.0,53.0,0.0
181,39.0,33.8,45.0,717.0,48.0,0.0
180,39.0,33.8,45.0,683.0,43.0,0.0
180,39.0,33.8,45.0,650.0,38.0,6.0
179,43.0,33.8,45.0,574.0,26.0,2.0
176,39.0,33.8,45.0,614.0,32.0,0.0
181,44.0,33.8,45.0,592.0,29.0,3.0
177,42.0,33.8,44.0,508.0,16.0,0.0
175,39.0,33.8,44.0,527.0,19.0,0.0
172,37.0,33.8,44.0,534.0,20.0,0.0
174,41.0,33.8,43.0,492.0,14.0,0.0
175,39.0,33.8,44.0,448.0,7.0,0.0
181,42.0,33.8,43.0,487.0,13.0,10.0
175,42.0,33.8,43.0,515.0,17.0,0.0
176,40.0,33.8,43.0,524.0,18.0,0.0
173,41.0,33.8,43.0,520.0,18.0,0.0
173,38.0,33.8,43.0,531.0,19.0,0.0
173,39.0,33.8,43.0,534.0,20.0,0.0
169,48.0,33.8,43.0,459.0,8.0,5.0
175,38.0,33.8,43.0,530.0,19.0,1.0
176,35.0,33.8,43.0,400.0,0.0,0.0
173,38.0,33.8,43.0,418.0,2.0,0.0
175,38.0,33.8,43.0,552.0,23.0,0.0
177,39.0,33.8,43.0,565.0,25.0,0.0
179,43.0,33.8,43.0,575.0,26.0,0.0
175,39.0,33.8,43.0,686.0,43.0,0.0
181,40.0,33.8,44.0,692.0,44.0,0.0
175,39.0,33.8,44.0,712.0,47.0,0.0
175,39.0,33.8,44.0,712.0,47.0,0.0
175,39.0,33.8,44.0,668.0,40.0,0.0
176,41.0,33.8,43.0,746.0,52.0,2.0
176,41.0,33.8,44.0,746.0,52.0,1.0
175,38.0,33.8,44.0,640.0,36.0,0.0
179,43.0,33.8,44.0,678.0,42.0,1.0
183,39.0,33.8,44.0,715.0,47.0,0.0
184,37.0,33.8,44.0,776.0,57.0,0.0
182,42.0,33.8,44.0,737.0,51.0,1.0
181,39.0,33.8,44.0,638.0,36.0,0.0
182,41.0,33.8,44.0,715.0,47.0,0.0
181,42.0,33.8,44.0,726.0,49.0,3.0
186,40.0,33.8,44.0,671.0,41.0,0.0
184,42.0,33.8,44.0,710.0,47.0,4.0
181,41.0,33.8,44.0,700.0,45.0,0.0
186,40.0,33.8,44.0,672.0,41.0,0.0
